phase,study,task,predictor,seed,status,epochs,train_samples,val_samples,train_loss,train_pred_loss,train_anti_collapse,train_ac_mean_norm,train_ac_cov_trace,train_ac_cov_min_eig,train_ac_cov_max_eig,train_ac_effective_rank,val_pred_loss,val_cov_trace,val_cov_min_eig,val_cov_max_eig,val_effective_rank,val_aliasing_rate,head_type,label_fraction,head_epochs,train_acc,test_loss,test_acc,train_mse,test_mse,test_mae,exactish_rate,variant,damage_type,damage_level,segments,active_segments,total_length,tube_area,junction_area,surface,delivered_traffic,normalized_surface,gate_entropy,load_gini,surface_degradation,traffic_degradation
phase1_pilot,study1,maze,mlp,0,complete,3.0,384.0,128.0,0.480220099290212,0.00019465019067865796,16.000848452250164,0.011916499584913254,8.881179383024573e-06,8.789794413155416e-12,8.326600436703302e-06,1.3384263939540078,0.00011414335676818155,0.000850843673106283,0.0,0.0007554798503406346,1.5967725719349783,0.6968215158924206,,,,,,,,,,,,,,,,,,,,,,,,,
phase1_pilot,study1,maze,spiking,0,complete,3.0,384.0,128.0,0.48008957256873447,6.48292319359219e-05,16.00082492828369,0.018389245495200157,2.548979864513967e-06,8.59920207957332e-12,2.215851054643281e-06,1.7070175941292673,3.758277034648927e-05,0.00020399101777002215,0.0,0.00017270990065298975,1.973560949873151,0.6617647058823529,,,,,,,,,,,,,,,,,,,,,,,,,
phase1_pilot,study1,sorting,mlp,0,complete,3.0,384.0,128.0,0.48017102231582004,0.0014839487460752328,15.956236124038696,0.04443933069705963,0.06684516370296478,2.8080402003638483e-08,0.059971559792757034,1.468502318165086,0.0012417590478435159,0.24980314075946808,1.2084236722387232e-08,0.1251102238893509,4.911349177341503,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1_pilot,study1,sorting,spiking,0,complete,3.0,384.0,128.0,0.47878585507472354,0.0025339098647236824,15.875065326690674,0.09774429351091385,0.2825637459754944,1.7760888226803218e-07,0.2694181799888611,1.2508895481644633,0.0022481890628114343,0.35217201709747314,2.013896960306738e-08,0.22973871231079102,3.455181046507593,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1_pilot,study2,maze_action,,0,complete,,,,1.377945899963379,,,,,,,,,,,,,,classification,0.1,8.0,0.2631579041481018,1.3890316486358643,0.2421875,,,,,,,,,,,,,,,,,,,
phase1_pilot,study2,sorting_head,,0,complete,,,,,,,,,,,,,,,,,,regression,0.1,8.0,,,,0.22947518527507782,0.2165604531764984,0.36461561918258667,0.0,,,,,,,,,,,,,,,
phase1_pilot,study3,,,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,none,0.0,256.0,146.0,54.803297888942716,12.065706495320267,2.061301806516019,14.127008301836286,62.851872645623345,0.22476670471285226,0.541567071632234,0.6123446473473613,,
phase1_pilot,study3,,,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,uniform,0.05,256.0,142.0,52.9076023645212,11.717642396758247,2.035684556103261,13.753326952861508,61.77251428974737,0.2226447653745212,0.518380332939531,0.6282543659639053,-0.0021219393383310747,1.079358355875975
phase1_pilot,study3,,,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,uniform,0.1,256.0,133.0,49.97916122847554,11.101028096555913,1.9886942687042413,13.089722365260155,59.39805373646567,0.2203729169499771,0.48867971182440323,0.6493937983889904,-0.004393787762875162,3.4538189091576754
phase1_pilot,study3,,,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,sparsity,uniform,0.15,256.0,128.0,47.236043653738676,10.33897638543733,1.8588517416112869,12.197828127048618,53.15742464260292,0.22946612268680205,0.46209214394778975,0.6615098721912649,0.004699417973949793,9.694448003020426
